game_id,home_team_x,away_team_x,posteam_x,Total_EPA_x,Total_Yards_Gained_x,Air_Yards_x,Turnovers_x,Total_Rush_Attempts_x,Total_Pass_Attempts_x,total_away_score_x,total_home_score_x,Winner_x,MA_EPA_x,MA_yards_gained_x,MA_air_yards_x,MA_turnovers_x,MA_rush_attempts_x,MA_pass_attempts_x,home_team_y,away_team_y,posteam_y,Total_EPA_y,Total_Yards_Gained_y,Air_Yards_y,Turnovers_y,Total_Rush_Attempts_y,Total_Pass_Attempts_y,total_away_score_y,total_home_score_y,Winner_y,MA_EPA_y,MA_yards_gained_y,MA_air_yards_y,MA_turnovers_y,MA_rush_attempts_y,MA_pass_attempts_y
2018092310,LA,LAC,LAC,4.433212411,356,276,2,20,32,34,23,Away,11.81989438,447,292,0.5,24.5,41.5,LA,LAC,LA,15.78760395,521,212,2,35,37,34,23,Away,13.36731017,401,316,0.5,30.5,34.5
2018092311,ARI,CHI,CHI,-2.118022154,316,338,2,31,38,14,16,Home,-3.334487601,282,214,1.5,27,37.5,ARI,CHI,ARI,-6.877196558,221,248,4,18,30,14,16,Home,-10.74056077,175,170,1.5,15,32.5
2018092312,SEA,DAL,DAL,-9.92074017,303,186,3,19,39,24,13,Away,-2.308674578,266,223,0.5,24,30,SEA,DAL,SEA,4.483395047,295,241,0,39,28,24,13,Away,-5.438482333,291,313,2.5,19,40.5
2018092313,DET,NE,NE,-6.8692346,209,333,1,19,28,26,10,Away,0.213840588,345,266,1.5,27.5,39,DET,NE,DET,13.03206804,414,194,1,33,37,26,10,Away,-14.06673301,383,431,3.5,16.5,53.5
2018092400,TB,PIT,PIT,4.619970911,413,267,1,22,41,27,29,Home,-1.52367956,474,459,3,24,53.5,TB,PIT,TB,2.193595793,455,556,4,16,53,27,29,Home,16.95210065,482,329,1,28.5,31.5
2018092700,LA,MIN,MIN,17.08004019,448,304,1,17,55,38,31,Away,-4.649378577,372,317,1.666666667,18.66666667,50,LA,MIN,LA,25.24289499,556,308,0,20,35,38,31,Away,14.17407476,441,281,1,32,35.33333333
2018093000,ATL,CIN,CIN,19.98730312,407,285,1,23,45,36,37,Home,5.490380396,366,280,2,20.33333333,40,ATL,CIN,ATL,19.87879282,495,430,0,24,43,36,37,Home,8.605670955,384,327,1,24,38.33333333
2018093001,CHI,TB,TB,-4.709919181,311,365,3,18,42,48,10,Away,12.03259903,473,405,2,24.33333333,38.66666667,CHI,TB,CHI,32.7399278,483,270,0,31,27,48,10,Away,-2.928999119,293,255,1.666666667,28.33333333,37.66666667
2018093002,DAL,DET,DET,18.27801033,382,229,0,20,33,26,24,Away,-5.033799326,393,352,2.666666667,22,48,DAL,DET,DAL,18.72241533,414,261,0,35,30,26,24,Away,-4.846029775,278,210,1.333333333,22.33333333,33
2018093003,GB,BUF,BUF,-24.4672551,145,307,3,16,40,22,0,Away,-11.0860938,246,299,1.333333333,27.33333333,34,GB,BUF,GB,0.607172867,423,423,2,32,42,22,0,Away,0.130147041,353,327,1,19.66666667,45.33333333
