game_id,home_team,away_team,posteam,Home or Away,Total EPA,Total Yards Gained,Air Yards,Turnovers,Total Rush Attempts,Total Pass Attempts,total_away_score,total_home_score,Winner,Winning Team
2019092202,GB,DEN,DEN,0,0.050067828,310,122,2,38,34,16,27,GB,0
2019092202,GB,DEN,GB,1,9.810616827,312,258,0,23,29,16,27,GB,1
2019092203,IND,ATL,ATL,0,26.816473,397,292,1,20,34,24,27,IND,0
2019092203,IND,ATL,IND,1,23.34197918,379,206,0,24,38,24,27,IND,1
2019092204,KC,BAL,BAL,0,16.57826484,452,483,0,34,47,28,33,KC,0
2019092204,KC,BAL,KC,1,20.16658865,503,326,0,25,38,28,33,KC,1
2019092205,MIN,OAK,MIN,1,17.43702549,385,100,0,38,21,14,34,MIN,1
2019092205,MIN,OAK,OAK,0,-0.589291759,302,211,1,20,38,14,34,MIN,0
2019092206,NE,NYJ,NE,1,-0.763126287,381,305,1,27,46,14,30,NE,1
2019092206,NE,NYJ,NYJ,0,-20.29475927,105,145,2,20,27,14,30,NE,0
2019092207,PHI,DET,DET,0,6.377940327,287,294,0,28,32,27,24,DET,1
2019092207,PHI,DET,PHI,1,-5.878043868,373,405,2,30,39,27,24,DET,0
2019092208,ARI,CAR,ARI,1,-1.015689318,248,242,2,22,51,38,20,CAR,0
2019092208,ARI,CAR,CAR,0,18.46763422,413,215,1,31,28,38,20,CAR,1
2019092209,TB,NYG,NYG,0,9.474103931,386,353,2,19,42,32,31,NYG,1
2019092209,TB,NYG,TB,1,12.2055422,499,482,1,32,41,32,31,NYG,0
2019092210,LAC,HOU,HOU,0,11.78402127,376,265,1,19,36,27,20,HOU,1
2019092210,LAC,HOU,LAC,1,6.079715603,366,471,1,18,51,27,20,HOU,0
2019092211,SEA,NO,NO,0,9.295462002,265,95,0,24,27,33,27,NO,1
2019092211,SEA,NO,SEA,1,-0.216409154,514,552,2,26,50,33,27,NO,0
2019092212,SF,PIT,PIT,0,-14.14905918,239,156,2,22,29,20,24,SF,0
2019092212,SF,PIT,SF,1,-4.83939096,436,266,5,40,33,20,24,SF,1
2019092213,CLE,LA,CLE,1,-8.17110034,270,253,1,24,39,20,13,LA,0
2019092213,CLE,LA,LA,0,0.598649581,344,390,3,24,40,20,13,LA,1
2019092300,WAS,CHI,WAS,1,-13.4466912,356,251,5,21,49,31,15,CHI,0
2019092300,WAS,CHI,CHI,0,2.434891933,298,162,1,24,34,31,15,CHI,1
2019092600,GB,PHI,PHI,0,23.10717503,330,178,0,33,27,34,27,PHI,1
2019092600,GB,PHI,GB,1,16.74613743,491,374,2,20,54,34,27,PHI,0
2019092900,ATL,TEN,TEN,0,8.21597831,365,131,0,34,27,24,10,TEN,1
2019092900,ATL,TEN,ATL,1,-6.96265303,422,468,1,17,58,24,10,TEN,0
2019092901,BAL,CLE,CLE,0,21.79444706,530,225,1,29,33,40,25,CLE,1
2019092901,BAL,CLE,BAL,1,2.973149528,397,268,3,30,38,40,25,CLE,0
2019092902,BUF,NE,BUF,1,-21.98475031,375,513,4,22,49,16,10,NE,0
2019092902,BUF,NE,NE,0,-18.45559904,224,298,1,23,39,16,10,NE,1
2019092903,DET,KC,KC,0,2.582715233,438,502,3,25,42,34,30,KC,1
2019092903,DET,KC,DET,1,2.875913552,447,407,2,35,38,34,30,KC,0
2019092904,HOU,CAR,CAR,0,-9.601264604,297,278,3,28,37,16,10,CAR,1
2019092904,HOU,CAR,HOU,1,-13.59669554,264,314,2,22,40,16,10,CAR,0
2019092905,IND,OAK,OAK,0,10.3004025,377,176,1,32,32,31,24,OAK,1
2019092905,IND,OAK,IND,1,1.750875864,346,484,2,23,46,31,24,OAK,0
2019092906,MIA,LAC,MIA,1,-9.107599854,233,134,1,18,29,30,10,LAC,0
2019092906,MIA,LAC,LAC,0,20.2808264,390,232,0,33,32,30,10,LAC,1
2019092907,NYG,WAS,WAS,0,-20.84118231,176,256,4,17,31,3,24,NYG,0
2019092907,NYG,WAS,NYG,1,4.441413256,389,167,4,37,31,3,24,NYG,1
2019092908,ARI,SEA,ARI,1,-3.547931061,321,168,1,23,36,27,10,SEA,0
2019092908,ARI,SEA,SEA,0,11.56123969,340,213,0,27,32,27,10,SEA,1
2019092909,LA,TB,LA,1,2.150066134,518,472,4,11,71,54,40,TB,0
2019092909,LA,TB,TB,0,21.78963808,464,393,1,30,43,54,40,TB,1
2019092910,CHI,MIN,MIN,0,-10.50440285,222,203,2,16,43,6,16,CHI,0
2019092910,CHI,MIN,CHI,1,2.598538756,269,205,0,33,34,6,16,CHI,1
2019092911,DEN,JAX,JAX,0,14.72929775,455,346,0,38,38,26,24,JAX,1
2019092911,DEN,JAX,DEN,1,6.344760603,371,299,1,16,38,26,24,JAX,0
2019092912,NO,DAL,NO,1,-1.711438126,266,195,1,27,35,10,12,NO,1
2019092912,NO,DAL,DAL,0,-7.598379261,257,316,3,20,34,10,12,NO,0
2019093000,PIT,CIN,PIT,1,8.436535067,326,80,1,25,31,3,27,PIT,1
2019093000,PIT,CIN,CIN,0,-24.6603646,175,205,2,19,45,3,27,PIT,0
2019100300,SEA,LA,LA,0,12.32700596,477,411,2,19,49,29,30,SEA,0
2019100300,SEA,LA,SEA,1,14.39341718,429,259,1,43,25,29,30,SEA,1
2019100600,CAR,JAX,CAR,1,8.986638761,445,176,0,27,34,27,34,CAR,1
2019100600,CAR,JAX,JAX,0,3.552651709,507,404,3,31,46,27,34,CAR,0
2019100601,CIN,ARI,ARI,0,15.48737094,514,247,0,38,33,26,23,ARI,1
2019100601,CIN,ARI,CIN,1,10.86789021,370,174,0,23,39,26,23,ARI,0
2019100602,HOU,ATL,HOU,1,38.12080902,592,286,0,34,33,32,53,HOU,1
2019100602,HOU,ATL,ATL,0,13.19638335,375,366,2,20,49,32,53,HOU,0
