game_id,home_team,away_team,posteam,Total_EPA,Total_Yards_Gained,Air_Yards,Turnovers,Total_Rush_Attempts,Total_Pass_Attempts,total_away_score,total_home_score,Winner,MA_EPA,MA_yards_gained,MA_air_yards,MA_turnovers,MA_rush_attempts,MA_pass_attempts
2019091500,BAL,ARI,BAL,12.4231978,440,396,0,33,39,17,23,Home,51.70629528,643,262,1,46,27
2019092901,BAL,CLE,BAL,2.973149528,397,268,3,30,38,40,25,Away,26.90258597,511,380,0.333333333,37.66666667,37.66666667
2019092201,DAL,MIA,DAL,15.35636902,476,413,1,34,33,6,31,Home,25.08517704,484,279,0.5,32,31.5
2019120100,BAL,SF,BAL,5.084819615,283,197,1,38,24,17,20,Home,23.35343427,428,187,0.5,37.25,25
2019091510,OAK,KC,OAK,-8.554246517,307,252,2,19,41,28,10,Away,21.65667664,357,214,0,28,26
2019092204,KC,BAL,KC,20.16658865,503,326,0,25,38,28,33,Home,20.6869135,479,368,0.5,24,40
2019091504,HOU,JAX,HOU,2.178176213,263,371,0,30,33,12,13,Home,19.78946649,414,325,1,23,36
2019091509,WAS,DAL,WAS,8.239253497,255,224,0,17,38,31,21,Away,16.30110795,398,324,0,13,45
2019100612,KC,IND,KC,-3.051329702,324,463,1,14,43,19,13,Away,16.03078272,474,391,1,24.5,40
2019121200,BAL,NYJ,BAL,18.64355704,432,267,0,35,25,21,42,Home,15.57195277,377,186,0.5,39,25.75
2019111705,MIN,DEN,MIN,5.120757862,321,281,2,18,41,23,27,Home,15.14627991,398,225,0.25,34.5,33.75
2019111700,BAL,HOU,BAL,23.79016594,491,210,0,37,27,7,41,Home,14.98664036,394,200,0.75,35.5,25.5
2019121507,TEN,HOU,TEN,8.425716378,432,383,1,28,39,24,21,Away,14.48997189,422,212,1.5,30.5,24.25
2019100611,DAL,GB,DAL,0.59732274,563,470,3,21,47,34,24,Away,14.48208596,425,321,1.25,29.5,32.5
2019102000,ATL,LA,ATL,-12.6178992,224,272,2,15,38,37,10,Away,14.0959809,409,361,1,20.5,44.75
2019102400,MIN,WAS,MIN,10.03372556,434,95,1,38,29,9,19,Home,13.80274841,415,293,1.25,30.5,34.25
2019122210,TEN,NO,TEN,4.404186728,397,241,1,26,32,38,28,Away,13.69607403,436,245,1.5,30.75,28.25
2019121600,NO,IND,NO,20.82112588,424,202,0,33,30,7,34,Home,13.64752439,372,243,0.75,23,37.5
2019092206,NE,NYJ,NE,-0.763126287,381,305,1,27,46,14,30,Home,13.16742214,422,272,0.5,32,34
2019092300,WAS,CHI,WAS,-13.4466912,356,251,5,21,49,31,15,Away,12.27018072,326,274,0,15,41.5
2019110700,OAK,LAC,OAK,0.295521742,278,183,0,21,34,24,26,Home,12.17633791,427,239,1,32.25,31.25
2019111003,GB,CAR,GB,11.48186964,388,338,0,27,31,16,24,Home,11.76941356,372,294,0.5,22.5,37
2019111004,NO,ATL,NO,-6.920171782,310,277,0,11,52,26,9,Away,11.74539747,429,245,0.5,30.25,39.25
2019092905,IND,OAK,IND,1.750875864,346,484,2,23,46,31,24,Away,11.7287634,348,168,1,30.66666667,32.66666667
2019111709,OAK,CIN,OAK,1.870251526,386,186,2,34,32,10,17,Home,11.40988621,397,260,0.5,27.75,31.75
2019092904,HOU,CAR,HOU,-13.59669554,264,314,2,22,40,16,10,Away,11.25055466,351,320,0.666666667,24,35
2019110307,OAK,DET,OAK,14.61200338,450,263,0,36,32,24,31,Home,11.0984377,409,217,1.25,31.25,31.25
2019121512,SF,ATL,SF,0.669144929,313,135,3,27,35,29,22,Away,10.99893617,407,185,1,23.5,33.25
2019102704,HOU,OAK,HOU,20.93880482,388,266,0,32,42,24,27,Home,10.87510716,430,309,1.75,30.25,38.25
2019100610,LAC,DEN,LAC,-24.9046216,246,212,3,16,48,20,13,Away,10.54094411,403,328,1,24.25,39.5
2019101300,TB,CAR,TB,-6.115786043,411,596,7,15,62,37,26,Away,10.30944968,376,353,0.5,28.75,36.25
2019091506,NYG,BUF,NYG,-0.588809021,370,359,2,20,46,28,14,Away,10.19973223,470,314,2,17,49
2019122900,BAL,PIT,BAL,0.152024522,304,135,2,44,24,10,28,Home,10.1300784,363,214,0.75,36.5,26.5
2019102004,GB,OAK,GB,31.72323822,481,268,0,23,32,24,42,Home,10.03924357,396,313,1,25.25,39.75
2019091511,DEN,CHI,DEN,5.558106842,374,251,1,24,53,16,14,Away,9.68249724,344,243,0,23,34
2019122102,SF,LA,SF,4.273123548,334,207,2,23,33,31,34,Home,9.662711231,374,164,1.25,25.5,30
2019102703,DET,NYG,DET,7.979266027,375,390,2,25,36,26,31,Home,9.62488299,366,353,1,25.75,38.25
2019102010,SEA,BAL,SEA,-14.22735626,347,459,2,26,42,30,16,Away,9.389524862,434,326,1,33.75,35.75
2019120801,BUF,BAL,BUF,-13.26945031,211,400,1,23,46,24,17,Away,9.338096853,387,275,0.25,33.75,32.5
2019102710,IND,DEN,IND,1.606492298,318,205,1,31,29,13,15,Home,8.567744756,359,285,1,29.5,38.5
2019110308,SEA,TB,SEA,12.31874451,494,346,1,22,47,34,40,Home,8.427313711,388,300,1,35.25,31.25
2019122908,KC,LAC,KC,19.68236596,336,142,1,23,25,21,31,Home,8.322858457,344,262,0.75,28,36
2019101400,GB,DET,GB,0.528805248,447,376,2,29,40,22,23,Home,8.277357443,368,284,1,26.25,38.75
2019091508,TEN,IND,TEN,-5.130819904,243,149,0,24,32,19,17,Away,8.225943901,339,145,0,28,28
